[2023-09-28T15:32:21.036679+00:00] paymentAPI.ALERT: DBException message! DB error! [] []
ALERT | 2023-09-28T15:42:12.783759+00:00 > DBException message! DB error! | [] []
ALERT | 2023-09-28, 15:44:08 > DBException message! DB error! | [] []
ALERT | 2023-09-28, 21:14:38 > DBException message! DB error! | [] []
ALERT | 2023-09-28, 21:14:46 > DBException message! DB error! | [] []
ALERT | 2023-09-28, 21:15:43 > DBException message! DB error! | [] []
ALERT | 2023-09-28, 21:15:49 > DBException message! DB error! | [] []
ALERT | 2023-09-28, 21:15:51 > DBException message! DB error! | [] []
ALERT | 2023-09-28, 21:15:52 > DBException message! DB error! | [] []
ALERT | 2023-09-28, 21:15:54 > DBException message! DB error! | [] []
ALERT | 2023-09-28, 21:15:56 > DBException message! DB error! | [] []
ALERT | 2023-09-28, 21:17:10 > DBException message! DB error! | [] []
ALERT | 2023-09-28, 21:20:38 > DBException message! DB error! | [] []
ALERT | 2023-09-29, 07:21:31 > DBException message! DB error! | [] []
ALERT | 2023-09-29, 07:21:58 > DBException message! DB error! | [] []
ALERT | 2023-09-29, 07:34:09 > DBException message! DB error! | [] []
ALERT | 2023-09-29, 07:41:47 > DBException message! DB error! | [] []
ALERT | 2023-09-29, 07:44:29 > DBException message! DB error! | [] []
ALERT | 2023-09-29, 08:44:44 > DBException message! DB error! | [] []
ALERT | 2023-09-29, 08:44:55 > DBException message! DB error! | [] []
ALERT | 2023-09-29, 08:45:37 > DBException message! DB error! | [] []
ALERT | 2023-09-29, 08:46:27 > DBException message! DB error! | [] []
ALERT | 2023-09-29, 08:47:41 > DBException message! DB error! | [] []
ALERT | 2023-09-29, 16:26:14 > DBException message! DB error! | [] []
